accession_name,location,plot_number,block_number,is_a_control,rep_number,row_number,col_number,cassava mosaic disease incidence in 3-month|CO_334:0000219,cassava mosaic disease severity in 3-month|CO_334:0000218,cassava bacterial blight incidence 3-month evaluation|CO_334:0000178,cassava bacterial blight severity 3-month evaluation|CO_334:0000175,sprout count at three-month|CO_334:0000214,CMD I 6MAP,CMD S 6MAP,CBB I 6MAP,CBB S 6MAP,CGM I 6MAP,CGM S 6MAP,VIGOUR 6MAP,Cbb9i,Cbb9s,Cmd9i,Cmd9s,Vigor 9map,Vigor preharvest,Sprout Count Net,Plnt Ht 1,Plt Ht 2,Plt Ht 3,Arch,fresh shoot weight,fresh root weight per plot,marketable root number,marketable root weight measurement in kg,plant stands harvested ,root color visual rating 1-3,root number counting,storage root shape,Root Rot,weight in air,weight in water,spg,dmc.spg,fry,starch,DMc.oven
NR17C2aF54P015,umudike,1,1,,1,1,1,5,3,3,2,9,5,3,3,2,4,2,5,7,2,2,2,7,7,8,117,117,141,4,13,16.6,14,14.2,6,2,25,2,NA,4010,400,1.110803324,33.72908587,20.75,20.75734072,36.86
NR17C2aF60P009,umudike,2,1,,1,1,2,0,1,5,2,8,0,1,4,2,7,2,5,6,3,0,1,7,7,6,152,167,161,3,7.2,14.6,17,13.4,7,1,28,2,NA,4540,490,1.120987654,35.34024691,18.25,22.90419753,40.96
NR17C2aF65P017,umudike,3,1,,1,1,3,7,4,7,2,10,3,2,5,2,8,2,5,7,2,0,1,5,5,8,130,143,136,3,8,14.8,18,10,7,2,41,4,NA,3490,260,1.080495356,28.93436533,18.5,14.36842105,37.51
NR17C2aF66P002,umudike,4,1,,1,1,4,0,1,4,2,9,0,1,3,2,8,3,5,7,2,0,1,5,5,6,124,124,120,3,4.2,10.2,13,8.2,6,1,24,4,NA,3070,200,1.069686411,27.22439024,12.75,12.08989547,36.81
NR17C2aF6P030,umudike,5,1,,1,1,5,0,1,2,2,2,0,1,0,1,2,3,5,1,2,0,1,5,5,1,123,NA,NA,3,1,2,2,1.8,1,1,3,2,NA,1840,140,1.082352941,29.22823529,2.5,14.76,38.76
NR17C2aF9P010,umudike,6,1,,1,1,6,0,1,5,2,10,0,1,2,2,7,4,7,8,2,0,1,7,7,8,164,124,148,2,10.6,7,10,4.2,8,1,25,2,NA,2940,300,1.113636364,34.17727273,8.75,21.35454545,42.91
NR17C2aF15P016,umudike,7,1,,1,1,7,0,1,10,2,10,2,2,4,2,8,3,5,8,2,0,1,7,7,7,136,145,116,3,6,12,18,11.5,5,1,24,3,NA,4190,490,1.132432432,37.15081081,15,25.31675676,42.91
NR17C2aF92P003,umudike,8,1,,1,1,8,0,1,5,2,10,2,2,3,2,8,3,3,8,2,0,1,5,5,8,84,81,98,3,3.6,8.6,10,4.6,9,1,38,1,NA,2910,270,1.102272727,32.37954545,10.75,18.95909091,41.06
NR17C2aF21P004,umudike,9,1,,1,1,9,1,2,2,2,10,4,2,2,2,8,3,5,8,2,0,1,7,7,8,120,119,158,3,8.8,13.4,17,12.2,6,2,24,3,NA,3130,360,1.129963899,36.76028881,16.75,24.79638989,42.91
NR17C2aF60P007,umudike,10,1,,1,1,10,0,1,7,2,7,0,1,4,2,8,2,3,6,2,0,1,5,5,6,132,152,141,3,3,9.2,11,7.4,6,1,18,2,1,3820,390,1.113702624,34.1877551,11.5,21.36851312,41.61
